7.000000000000000000e+00,4.720000000000000000e+02,1.904874923618483606e+01,2.000000000000000000e+00
1.700000000000000000e+01,9.600000000000000000e+01,2.500595940003476514e+01,2.000000000000000000e+00
9.000000000000000000e+00,1.800000000000000000e+01,6.736365508805005220e+01,2.000000000000000000e+00
1.080000000000000000e+02,1.710000000000000000e+02,1.017498359291714678e+02,2.000000000000000000e+00
4.490000000000000000e+02,4.600000000000000000e+02,1.033398780419808247e+02,2.000000000000000000e+00
1.130000000000000000e+02,2.470000000000000000e+02,1.081770592309621861e+02,2.000000000000000000e+00
1.570000000000000000e+02,5.040000000000000000e+02,1.119947408869805798e+02,3.000000000000000000e+00
1.060000000000000000e+02,1.880000000000000000e+02,1.138912824930177976e+02,2.000000000000000000e+00
5.000000000000000000e+01,1.480000000000000000e+02,1.149654765301015402e+02,2.000000000000000000e+00
1.830000000000000000e+02,2.780000000000000000e+02,1.156087306420080694e+02,2.000000000000000000e+00
9.300000000000000000e+01,1.120000000000000000e+02,1.168660027719478904e+02,2.000000000000000000e+00
1.500000000000000000e+02,2.250000000000000000e+02,1.182024288014560796e+02,2.000000000000000000e+00
8.900000000000000000e+01,1.150000000000000000e+02,1.206559482879691956e+02,2.000000000000000000e+00
2.730000000000000000e+02,2.770000000000000000e+02,1.233411067549305358e+02,2.000000000000000000e+00
7.700000000000000000e+01,8.500000000000000000e+01,1.260720736684941130e+02,2.000000000000000000e+00
1.550000000000000000e+02,2.150000000000000000e+02,1.282275674360674600e+02,2.000000000000000000e+00
3.390000000000000000e+02,4.290000000000000000e+02,1.307413940518999880e+02,2.000000000000000000e+00
5.800000000000000000e+01,1.450000000000000000e+02,1.315285246713389142e+02,2.000000000000000000e+00
2.800000000000000000e+01,4.660000000000000000e+02,1.330448886056752258e+02,2.000000000000000000e+00
1.250000000000000000e+02,2.440000000000000000e+02,1.339077541781560399e+02,2.000000000000000000e+00
1.380000000000000000e+02,2.630000000000000000e+02,1.346598117990795060e+02,2.000000000000000000e+00
1.920000000000000000e+02,2.710000000000000000e+02,1.348471392038641170e+02,2.000000000000000000e+00
